,name,rating,reviews,ctype,hq,old,employees
0,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
1,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
2,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
3,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
4,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
5,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
6,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
7,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
8,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
9,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
10,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
11,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
12,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
13,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
14,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
15,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
16,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
17,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
18,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
19,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
20,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
21,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
22,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
23,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
24,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
25,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
26,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
27,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
28,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
29,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
30,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
31,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
32,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
33,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
34,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
35,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
36,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
37,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
38,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
39,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
40,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
41,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
42,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
43,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
44,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
45,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
46,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
47,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
48,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
49,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
50,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
51,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
52,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
53,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
54,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
55,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
56,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
57,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
58,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
59,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
60,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
61,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
62,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
63,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
64,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
65,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
66,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
67,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
68,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
69,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
70,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
71,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
72,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
73,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
74,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
75,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
76,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
77,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
78,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
79,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
80,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
81,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
82,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
83,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
84,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
85,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
86,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
87,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
88,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
89,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
90,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
91,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
92,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
93,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
94,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
95,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
96,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
97,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
98,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
99,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
100,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
101,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
102,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
103,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
104,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
105,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
106,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
107,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
108,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
109,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
110,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
111,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
112,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
113,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
114,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
115,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
116,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
117,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
118,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
119,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
120,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
121,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
122,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
123,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
124,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
125,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
126,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
127,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
128,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
129,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
130,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
131,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
132,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
133,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
134,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
135,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
136,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
137,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
138,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
139,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
140,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
141,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
142,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
143,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
144,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
145,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
146,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
147,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
148,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
149,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
150,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
151,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
152,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
153,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
154,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
155,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
156,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
157,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
158,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
159,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
160,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
161,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
162,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
163,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
164,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
165,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
166,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
167,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
168,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
169,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
170,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
171,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
172,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
173,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
174,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
175,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
176,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
177,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
178,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
179,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
180,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
181,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
182,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
183,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
184,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
185,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
186,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
187,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
188,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
189,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
190,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
191,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
192,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
193,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
194,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
195,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
196,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
197,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
198,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
199,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
200,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
201,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
202,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
203,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
204,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
205,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
206,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
207,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
208,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
209,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
210,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
211,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
212,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
213,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
214,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
215,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
216,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
217,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
218,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
219,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
220,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
221,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
222,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
223,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
224,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
225,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
226,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
227,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
228,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
229,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
230,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
231,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
232,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
233,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
234,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
235,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
236,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
237,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
238,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
239,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
240,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
241,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
242,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
243,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
244,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
245,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
246,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
247,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
248,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
249,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
250,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
251,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
252,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
253,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
254,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
255,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
256,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
257,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
258,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
259,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
260,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
261,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
262,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
263,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
264,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
265,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
266,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
267,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
268,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
269,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
270,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
271,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
272,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
273,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
274,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
275,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
276,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
277,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
278,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
279,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
280,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
281,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
282,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
283,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
284,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
285,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
286,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
287,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
288,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
289,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
290,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
291,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
292,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
293,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
294,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
295,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
296,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
297,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
298,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
299,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
300,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
301,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
