,name,rating,reviews,ctype,hq,old,employees
5317,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
5318,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
5319,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
5320,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
5321,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
5322,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
5323,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
5324,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
5325,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
5326,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
5327,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
5328,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
5329,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
5330,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
5331,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
5332,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
5333,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
5334,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
5335,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
5336,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
5337,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
5338,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
5339,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
5340,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
5341,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
5342,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
5343,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
5344,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
